domain_code,skill_code,weight_score,is_core,is_active
mental_health,medical_knowledge,82,0,1
mental_health,problem_solving,76,0,1
mental_health,time_management,72,0,1
mental_health,leadership,70,0,1
med_devices,medical_knowledge,90,1,1
med_devices,biology,80,0,1
med_devices,data_analysis,76,0,1
med_devices,problem_solving,78,0,1
med_devices,communication,74,0,1
pharma,medical_knowledge,88,1,1
pharma,biology,86,1,1
pharma,statistics,78,0,1
pharma,data_analysis,76,0,1
pharma,communication,70,0,1
insurance_tech,financial_analysis,88,1,1
insurance_tech,risk_management,90,1,1
insurance_tech,excel,78,0,1
insurance_tech,sql,74,0,1
insurance_tech,communication,72,0,1
data_engineering,sql,92,1,1
data_engineering,python,90,1,1
data_engineering,data_analysis,82,0,1
data_engineering,statistics,78,0,1
data_engineering,aws,80,0,1
ai_ethics,communication,88,1,1
ai_ethics,problem_solving,78,0,1
ai_ethics,leadership,76,0,1
ai_ethics,content_writing,74,0,1
ai_ethics,time_management,70,0,1
