stream_code,domain_code,weight_score,is_primary,is_active
science,pure_sciences,85,1,1
science,biotech,90,1,1
science,pharma,88,1,1
science,climate_tech,82,0,1
science,defense_tech,80,0,1
commerce,fintech,92,1,1
commerce,banking_finance,90,1,1
commerce,ca_accounting,95,1,1
commerce,insurance_tech,82,0,1
commerce,business_management,90,1,1
commerce,supply_chain,85,1,1
commerce,entrepreneurship,88,1,1
commerce,ecommerce,88,1,1
commerce,digital_marketing,82,0,1
commerce,marketing,85,1,1
commerce,traveltech,75,0,1
commerce,banking_govt,88,1,1
arts,legaltech,80,1,1
arts,law_practice,90,1,1
arts,edtech,82,1,1
arts,higher_education,80,1,1
arts,journalism_media,88,1,1
arts,creator_economy,78,0,1
arts,social_work,85,1,1
arts,psychology_counselling,85,1,1
arts,mental_health,78,0,1
arts,ai_ethics,75,0,1
arts,upsc_civil_services,88,1,1
arts,state_govt_services,85,1,1
arts,police_law_enforcement,78,0,1
vocational,electrician_trades,95,1,1
vocational,plumbing_civil_trades,90,1,1
vocational,it_hardware_support,88,1,1
vocational,beauty_wellness,85,1,1
vocational,manufacturing,88,1,1
sports,professional_sports,95,1,1
sports,sports_coaching,90,1,1
sports,sports_tech,82,1,1
sports,physical_education,88,1,1
fine_arts,fine_arts_design,95,1,1
fine_arts,performing_arts,92,1,1
fine_arts,fashion_design,88,1,1
fine_arts,fashiontech,80,0,1
fine_arts,ar_vr,75,0,1
fine_arts,gaming,72,0,1
fine_arts,creator_economy,82,1,1
agriculture,agriculture_farming,95,1,1
agriculture,agritech,88,1,1
agriculture,horticulture,88,1,1
agriculture,veterinary,85,1,1
agriculture,foodtech,82,0,1
design,ar_vr,88,1,1
design,fashiontech,90,1,1
design,gaming,85,1,1
design,architecture,88,1,1
media,journalism_media,92,1,1
media,creator_economy,88,1,1
media,digital_marketing,85,0,1
computer_science,ai_data,95,1,1
computer_science,data_engineering,92,1,1
computer_science,cloud_computing,90,1,1
computer_science,devops,88,1,1
computer_science,cybersecurity,90,1,1
computer_science,iot,85,0,1
computer_science,blockchain,80,0,1
computer_science,quantum,82,0,1
computer_science,ar_vr,78,0,1
computer_science,gaming,80,0,1
business_management,business_management,95,1,1
business_management,entrepreneurship,92,1,1
business_management,ecommerce,88,1,1
business_management,supply_chain,85,0,1
business_management,hrtech,82,0,1
business_management,marketing,88,1,1
business_management,fintech,80,0,1
health_science,healthtech,90,1,1
health_science,med_devices,88,1,1
health_science,nursing,92,1,1
health_science,physiotherapy,88,1,1
health_science,pharmacy,85,0,1
health_science,mental_health,82,0,1
health_science,psychology_counselling,85,1,1
law,law_practice,95,1,1
law,legaltech,85,1,1
law,ai_ethics,78,0,1
law,upsc_civil_services,80,0,1
hospitality,hotel_management,95,1,1
hospitality,traveltech,90,1,1
hospitality,foodtech,82,0,1
education,teaching_school,95,1,1
education,higher_education,90,1,1
education,edtech,85,0,1
defense,defense_armed_forces,95,1,1
defense,defense_tech,88,1,1
defense,police_law_enforcement,82,0,1
entrepreneurship,entrepreneurship,95,1,1
entrepreneurship,ecommerce,88,0,1
entrepreneurship,creator_economy,82,0,1
entrepreneurship,agritech,75,0,1
