domain_code,domain_name,parent_code,description,domain_image,is_active
URBAN_PLANNING,Urban Planning,CONST_ARCH,Urban planning careers,,1
REAL_ESTATE,Real Estate,CONST_ARCH,Real estate careers,,1
BUILDING_SAFETY,Building Safety,CONST_ARCH,Building safety careers,,1
LOGISTICS,Logistics,TRANSPORT_LOG,Logistics careers,,1
SUPPLY_CHAIN,Supply Chain Management,TRANSPORT_LOG,Supply chain management careers,,1
TRANSPORTATION_MANAGEMENT,Transportation Management,TRANSPORT_LOG,Transportation management careers,,1
WAREHOUSING,Warehousing,TRANSPORT_LOG,Warehousing careers,,1
AVIATION,Aviation,TRANSPORT_LOG,Aviation careers,,1
MARITIME_TRANSPORT,Maritime Transport,TRANSPORT_LOG,Maritime transport careers,,1
RAIL_TRANSPORT,Rail Transport,TRANSPORT_LOG,Rail transport careers,,1
PRODUCTION_MANAGEMENT,Production Management,MANUF_PROD,Production management careers,,1
QUALITY_CONTROL,Quality Control,MANUF_PROD,Quality control and quality assurance careers,,1
INDUSTRIAL_ENGINEERING,Industrial Engineering,MANUF_PROD,Industrial engineering careers,,1
MANUFACTURING_TECH,Manufacturing Technology,MANUF_PROD,Manufacturing technology careers,,1
AUTOMOBILE_MANUFACTURING,Automobile Manufacturing,MANUF_PROD,Automobile manufacturing careers,,1
TEXTILE_MANUFACTURING,Textile Manufacturing,MANUF_PROD,Textile manufacturing careers,,1
FOOD_PROCESSING,Food Processing,MANUF_PROD,Food processing careers,,1
MAINTENANCE_TECH,Maintenance Technology,MANUF_PROD,Maintenance technology careers,,1
CIVIL_SERVICES,Civil Services,GOVT_JOBS,Civil services and public administration careers,,1
DEFENSE_SERVICES,Defense Services,GOVT_JOBS,Defense services careers,,1
GOVT_BANKING,Government Banking,GOVT_JOBS,Government banking exam careers,,1
RAILWAY_JOBS,Railway Jobs,GOVT_JOBS,Railway job careers,,1
PUBLIC_ADMINISTRATION,Public Administration,GOVT_JOBS,Public administration careers,,1
STATE_GOVT_SERVICES,State Government Services,GOVT_JOBS,State government service careers,,1
PUBLIC_SECTOR_UNITS,Public Sector Units,GOVT_JOBS,Public sector unit careers,,1
SOCIAL_WORK_FIELD,Social Work,SOCIAL_WORK,Social work careers,,1
NGO_MANAGEMENT,NGO Management,SOCIAL_WORK,NGO management careers,,1
COMMUNITY_DEVELOPMENT,Community Development,SOCIAL_WORK,Community development careers,,1
COUNSELING_SERVICES,Counseling Services,SOCIAL_WORK,Counseling service careers,,1
CHILD_FAMILY_SERVICES,Child & Family Services,SOCIAL_WORK,Child and family service careers,,1
RURAL_DEVELOPMENT,Rural Development,SOCIAL_WORK,Rural development careers,,1
DISABILITY_SERVICES,Disability Services,SOCIAL_WORK,Disability service careers,,1
